id,title,date,authors,abstract
0,The child neurology clinical workforce in 2015: Report of the AAP/CNS Joint Taskforce.,2016-08-26,"Peter B Kang, James F Bale Jr, Mark Mintz, Sucheta M Joshi, Donald L Gilbert, Carrie Radabaugh, Holly Ruch-Ross","More than a decade has passed since the last major workforce survey of child neurologists in the United States; thus, a reassessment of the child neurology workforce is needed, along with an inaugural assessment of a new related field, neurodevelopmental disabilities. The American Academy of Pediatrics and the Child Neurology Society conducted an electronic survey in 2015 of child neurologists and neurodevelopmental disabilities specialists. The majority of respondents participate in maintenance of certification, practice in academic medical centers, and offer subspecialty care. EEG reading and epilepsy care are common subspecialty practice areas, although many child neurologists have not had formal training in this field. In keeping with broader trends, medical school debts are substantially higher than in the past and will often take many years to pay off. Although a broad majority would choose these fields again, there are widespread dissatisfactions with compensation and benefits given the length of training and the complexity of care provided, and frustrations with mounting regulatory and administrative stresses that interfere with clinical practice. Although not unique to child neurology and neurodevelopmental disabilities, such issues may present barriers for the recruitment of trainees into these fields. Creative approaches to enhance the recruitment of the next generation of child neurologists and neurodevelopmental disabilities specialists will benefit society, especially in light of all the exciting new treatments under development for an array of chronic childhood neurologic disorders."
1,"Education Research: Neurology resident education: Trending skills, confidence, and professional preparation.",2016-07-28,"Justin T Jordan, David Mayans, Logan Schneider, Nellie Adams, Ayaz M Khawaja, John Engstrom","To survey US-trained graduating neurology residents who are American Academy of Neurology members, in an effort to trend perceived quality and completeness of graduate neurology education. An electronic survey was sent to all American Academy of Neurology members graduating from US neurology residency programs in the Spring of 2014. Of 805 eligible respondents, 24% completed the survey. Ninety-three percent of adult neurology residents and 56% of child neurology residents reported plans to pursue fellowship training after residency. Respondents reported a desire for additional training in neurocritical care, neuro-oncology, neuromuscular diseases, botulinum toxin injection, and nerve blocks. There remains a clear deficit in business training of neurology residents, although there was notable improvement in knowledge of coding and office management compared to previous surveys. Although there are still areas of perceived weakness in neurology training, graduating neurology residents feel generally well prepared for their chosen careers. However, most still pursue fellowship training for reasons that are little understood. In addition to certain subspecialties and procedures, practice management remains deficient in neurology training and is a point of future insecurity for most residents. Future curriculum changes should consider resident-reported gaps in knowledge, with careful consideration of improving business training."
2,Opinion and Special Articles: Neurology education at US osteopathic medical schools.,2017-12-18,"Daniel A Freedman, Dara V F Albert","Osteopathic medical schools have a longstanding tradition of training primary care physicians (PCP). Neurologic symptoms are common in the PCP's office and there is an undersupply of neurologists in the United States. It is therefore crucial for osteopathic medical students to have a strong foundation in clinical neurology. Despite the importance, a mere 6% of osteopathic medical schools have required neurology clerkships. Furthermore, exposure to neurology in medical school through required clerkships has been correlated with matching into neurology residency. As osteopathic medical schools continue to expand, it will become increasingly important to emphasize the American Academy Neurology's published guidelines for a core clerkship curriculum. Practicing neurologists should take an active role in encouraging osteopathic medical schools to adopt these guidelines."
3,Neurology clerkship goals and their effect on learning and satisfaction.,2015-12-30,"Roy E Strowd, Rachel Marie E Salas, Tiana E Cruz, Charlene E Gamaldo","To define medical student goals in the neurology clerkship and explore the association between goal setting and student performance, clerkship satisfaction, self-directed learning (SDL), and interest in neurology. A 4-year prospective study of consecutive second- to fourth-year medical students rotating through a required 4-week neurology clerkship was conducted. A goal-generating cohort (first 2 years) was enrolled to describe the breadth of student-derived goals. A goal-evaluating cohort (second 2 years) was used to evaluate the frequency of goal achievement and assess associations with performance (e.g., National Board of Medical Examiners [NBME], examination), satisfaction, and SDL behaviors (both based on 5-point Likert scale). Of 440 evaluable students, 201 were goal-generating and 239 goal-evaluating. The top 3 goals were (1) improvement in neurologic examination, (2) understanding neurologic disease, and (3) deriving a differential diagnosis. More than 90% (n = 216/239) of students reported achieving goals. Achievers reported significantly higher clerkship satisfaction (4.2 ± 0.8 vs. 2.8 ± 1.0, p < 0.0001), greater interest in neurology (71% vs. 35%, p = 0.001), and higher observed tendency toward SDL (4.5 ± 0.5 vs. 4.1 ± 0.8, p < 0.0001). After adjusting for age and training, NBME scores were 1.7 points higher in achievers (95% confidence interval 0.1-3.2, p = 0.04). Students consistently generated similar goals for a required neurology clerkship. Goal achievers had better adjusted standardized test scores, higher satisfaction, and greater tendency toward SDL. This student-generated, goal-setting program may be particularly appealing to clinicians, educators, and researchers seeking resource-lean mechanisms to improve student experience and performance in the clinical clerkships."
4,Milestone-compatible neurology resident assessments: A role for observable practice activities.,2015-05-01,"Lyell K Jones Jr, Elliot L Dimberg, Christopher J Boes, Scott D Z Eggers, David W Dodick, Jeremy K Cutsforth-Gregory, Andrea N Leep Hunderfund, David J Capobianco","Beginning in 2014, US neurology residency programs were required to report each trainee's educational progression within 29 neurology Milestone competency domains. Trainee assessment systems will need to be adapted to inform these requirements. The primary aims of this study were to validate neurology resident assessment content using observable practice activities (OPAs) and to develop assessment formats easily translated to the Neurology Milestones. A modified Delphi technique was used to establish consensus perceptions of importance of 73 neurology OPAs among neurology educators and trainees at 3 neurology residency programs. A content validity score (CVS) was derived for each neurology OPA, with scores ≥4.0 determined in advance to indicate sufficient content validity. The mean CVS for all OPAs was 4.4 (range 3.5-5.0). Fifty-seven (78%) OPAs had a CVS ≥4.0, leaving 16 (22%) below the pre-established threshold for content validity. Trainees assigned a higher importance to individual OPAs (mean CVS 4.6) compared to faculty (mean 4.4, p = 0.016), but the effect size was small (η(2) = 0.10). There was no demonstrated effect of length of education experience on perceived importance of neurology OPAs (p = 0.23). Two sample resident assessment formats were developed, one using neurology OPAs alone and another using a combination of neurology OPAs and the Neurology Milestones. This study provides neurology training programs with content validity evidence for items to include in resident assessments, and sample assessment formats that directly translate to the Neurology Milestones. Length of education experience has little effect on perceptions of neurology OPA importance."
5,Status of neurology medical school education: results of 2005 and 2012 clerkship director survey.,2014-10-10,"Jonathan L Carter, Imran I Ali, Richard S Isaacson, Joseph E Safdieh, Glen R Finney, Michael K Sowell, Maria C Sam, Heather S Anderson, Robert K Shin, Jeff A Kraakevik, Mary Coleman, Oksana Drogan","To survey all US medical school clerkship directors (CDs) in neurology and to compare results from a similar survey in 2005. A survey was developed by a work group of the American Academy of Neurology Undergraduate Education Subcommittee, and sent to all neurology CDs listed in the American Academy of Neurology database. Comparisons were made to a similar 2005 survey. Survey response rate was 73%. Neurology was required in 93% of responding schools. Duration of clerkships was 4 weeks in 74% and 3 weeks in 11%. Clerkships were taken in the third year in 56%, third or fourth year in 19%, and fourth year in 12%. Clerkship duration in 2012 was slightly shorter than in 2005 (fewer clerkships of ≥4 weeks, p = 0.125), but more clerkships have moved into the third year (fewer neurology clerkships during the fourth year, p = 0.051). Simulation training in lumbar punctures was available at 44% of schools, but only 2% of students attempted lumbar punctures on patients. CDs averaged 20% protected time, but reported that they needed at least 32%. Secretarial full-time equivalent was 0.50 or less in 71% of clerkships. Eighty-five percent of CDs were ""very satisfied"" or ""somewhat satisfied,"" but more than half experienced ""burnout"" and 35% had considered relinquishing their role. Trends in neurology undergraduate education since 2005 include shorter clerkships, migration into the third year, and increasing use of technology. CDs are generally satisfied, but report stressors, including inadequate protected time and departmental support."
6,"Burnout, career satisfaction, and well-being among US neurology residents and fellows in 2016.",2017-06-30,"Kerry H Levin, Tait D Shanafelt, Christopher M Keran, Neil A Busis, Laura A Foster, Jennifer Rose V Molano, Cormac A O'Donovan, Jeffrey B Ratliff, Heidi B Schwarz, Jeff A Sloan, Terrence L Cascino","To study prevalence of and factors contributing to burnout, career satisfaction, and well-being in US neurology residents and fellows. A total of 938 US American Academy of Neurology member neurology residents and fellows were surveyed using standardized measures of burnout, career satisfaction, and well-being from January 19 to March 21, 2016. Response rate was 37.7% (354/938); about 2/3 of responders were residents and 1/3 were fellows. Median age of participants was 32 years and 51.1% were female. Seventy-three percent of residents and 55% of fellows had at least one symptom of burnout, the difference largely related to higher scores for depersonalization among residents. For residents, greater satisfaction with work-life balance, meaning in work, and older age were associated with lower risk of burnout; for fellows, greater satisfaction with work-life balance and effective support staff were associated with lower risk of burnout. Trainees experiencing burnout were less likely to report career satisfaction. Career satisfaction was more likely among those reporting meaning in work and more likely for those working in the Midwest compared with the Northeast region. Burnout is common in neurology residents and fellows. Lack of work-life balance and lack of meaning in work were associated with reduced career satisfaction and increased risk of burnout. These results should inform approaches to reduce burnout and promote career satisfaction and well-being in US neurology trainees."
7,Neurology in Asia.,2015-05-28,Chong-Tin Tan,"Asia is important as it accounts for more than half of the world population. The majority of Asian countries fall into the middle income category. As for cultural traditions, Asia is highly varied, with many languages spoken. The pattern of neurologic diseases in Asia is largely similar to the West, with some disease features being specific to Asia. Whereas Asia constitutes 60% of the world's population, it contains only 20% of the world's neurologists. This disparity is particularly evident in South and South East Asia. As for neurologic care, it is highly variable depending on whether it is an urban or rural setting, the level of economic development, and the system of health care financing. To help remedy the shortage of neurologists, most counties with larger populations have established training programs in neurology. These programs are diverse, with many areas of concern. There are regional organizations serving as a vehicle for networking in neurology and various subspecialties, as well as an official journal (Neurology Asia). The Asian Epilepsy Academy, with its emphasis on workshops in various locations, EEG certification examination, and fellowships, may provide a template of effective regional networking for improving neurology care in the region. "
8,International issues: Obtaining an adult neurology residency position in the United States: an overview.,2014-06-18,"Justin T Jordan, Johann Sellner, Walter Struhal, Logan Schneider, David Mayans","Around the world, there are marked differences in neurology training, including training duration and degree of specialization. In the United States, adult neurology residency is composed of 1 year of internal medicine training (preliminary year) and 3 years of neurology-specific training. Child neurology, which is not the focus of this article, is 2 years of pediatrics and 3 years of neurology training. The route to adult neurology residency training in the United States is standardized and is similar to most other US specialties. Whereas US medical graduates often receive stepwise guidance from their medical school regarding application for residency training, international graduates often enter this complex process with little or no such assistance. Despite this discrepancy, about 10%-15% of residency positions in the United States are filled by international medical graduates.(1,2) In adult neurology specifically, 35% of matched positions were filled by international graduates in 2013, 75% of whom were not US citizens.(1) In an effort to provide a preliminary understanding of the application process and related terminology (table 1) and thereby encourage international residency applicants, we describe the steps necessary to apply for neurology residency in the United States. "
9,Residency Training: The need for an integrated diversity curriculum for neurology residency.,2017-12-18,"Nicole Rosendale, S Andrew Josephson","Providing culturally responsive care to an increasingly multicultural population is essential and requires formal cultural humility training for residents. We sought to understand the current prevalence and need for this type of training within neurology programs and to pilot an integrated curriculum locally. We surveyed via email all program directors of academic neurology programs nationally regarding the prevalence of and need for formal cultural responsiveness training. Forty-seven program directors (36%) responded to the survey. The majority of respondents did not have a formalized diversity curriculum in their program (65%), but most (85%) believed that training in cultural responsiveness was important. We developed locally an integrated diversity curriculum as a proof of concept. The curriculum covered topics of diversity in language, religion, sexual orientation, gender identity/expression, and socioeconomic status designed to focus on the needs of the local community. Program evaluation included a pre and post survey of the learner attitudes toward cultural diversity. There is an unmet need for cultural responsiveness training within neurology residencies, and integrating this curriculum is both feasible and efficacious. When adapted to address cultural issues of the local community, this curriculum can be generalizable to both academic and community organizations."
10,Medicare payments to the neurology workforce in 2012.,2015-04-01,"Lesli E Skolarus, James F Burke, Brian C Callaghan, Amanda Becker, Kevin A Kerber","Little is known about how neurology payments vary by service type (i.e., evaluation and management [E/M] vs tests/treatments) and compare to other specialties, yet this information is necessary to help neurology define its position on proposed payment reform. Medicare Provider Utilization and Payment Data from 2012 were used. These data included all direct payments to providers who care for fee-for-service Medicare recipients. Total payment was determined by medical specialty and for various services (e.g., E/M, EEG, electromyography/nerve conduction studies, polysomnography) within neurology. Payment and proportion of services were then calculated across neurologists' payment categories. Neurologists comprised 1.5% (12,317) of individual providers who received Medicare payments and were paid $1.15 billion by Medicare in 2012. Sixty percent ($686 million) of the Medicare payment to neurologists was for E/M, which was a lower proportion than primary providers (approximately 85%) and higher than surgical subspecialties (range 9%-51%). The median neurologist received nearly 75% of their payments from E/M. Two-thirds of neurologists received 60% or more of their payment from E/M services and over 20% received all of their payment from E/M services. Neurologists in the highest payment category performed more services, of which a lower proportion were E/M, and performed at a facility, compared to neurologists in lower payment categories. E/M is the dominant source of payment to the majority of neurologists and should be prioritized by neurology in payment restructuring efforts."
11,International electives in neurology training: a survey of US and Canadian program directors.,2013-12-06,"Jennifer L Lyons, Mary E Coleman, John W Engstrom, Farrah J Mateen","To ascertain the current status of global health training and humanitarian relief opportunities in US and Canadian postgraduate neurology programs. There is a growing interest among North American trainees to pursue medical electives in low- and middle-income countries. Such training opportunities provide many educational and humanitarian benefits but also pose several challenges related to organization, human resources, funding, and trainee and patient safety. The current support and engagement of neurology postgraduate training programs for trainees to pursue international rotations is unknown. A survey was distributed to all program directors in the United States and Canada (December 2012-February 2013) through the American Academy of Neurology to assess the training opportunities, institutional partnerships, and support available for international neurology electives. Approximately half of responding programs (53%) allow residents to pursue global health-related electives, and 11% reported that at least 1 trainee participated in humanitarian relief during training (survey response rate 61%, 143/234 program directors). Canadian programs were more likely to allow residents to pursue international electives than US programs (10/11, 91% vs 65/129, 50%, p = 0.023). The number of trainees participating in international electives was low: 0%-9% of residents (55% of programs) and 10%-19% of residents (21% of programs). Lack of funding was the most commonly cited reason for residents not participating in global health electives. If funding was available, 93% of program directors stated there would be time for residents to participate. Most program directors (75%) were interested in further information on global health electives. In spite of high perceived interest, only half of US neurology training programs include international electives, mostly due to a reported lack of funding. By contrast, the majority of Canadian programs that responded allow international electives, likely due to clearer guidelines from the Royal College of Physicians and Surgeons of Canada compared to the Accreditation Council of Graduate Medical Education. However, the number of both Canadian and US neurology trainees venturing abroad remains a minority. Most program directors are interested in learning more information related to global health electives for neurology residents."
12,"Practice guideline: Cervical and ocular vestibular evoked myogenic potential testing: Report of the Guideline Development, Dissemination, and Implementation Subcommittee of the American Academy of Neurology.",2017-11-01,"Terry D Fife, James G Colebatch, Kevin A Kerber, Krister Brantberg, Michael Strupp, Hyung Lee, Mark F Walker, Eric Ashman, Jeffrey Fletcher, Brian Callaghan, David S Gloss 2nd","To systematically review the evidence and make recommendations with regard to diagnostic utility of cervical and ocular vestibular evoked myogenic potentials (cVEMP and oVEMP, respectively). Four questions were asked: Does cVEMP accurately identify superior canal dehiscence syndrome (SCDS)? Does oVEMP accurately identify SCDS? For suspected vestibular symptoms, does cVEMP/oVEMP accurately identify vestibular dysfunction related to the saccule/utricle? For vestibular symptoms, does cVEMP/oVEMP accurately and substantively aid diagnosis of any specific vestibular disorder besides SCDS? The guideline panel identified and classified relevant published studies (January 1980-December 2016) according to the 2004 American Academy of Neurology process. Level C positive: Clinicians may use cVEMP stimulus threshold values to distinguish SCDS from controls (2 Class III studies) (sensitivity 86%-91%, specificity 90%-96%). Corrected cVEMP amplitude may be used to distinguish SCDS from controls (2 Class III studies) (sensitivity 100%, specificity 93%). Clinicians may use oVEMP amplitude to distinguish SCDS from normal controls (3 Class III studies) (sensitivity 77%-100%, specificity 98%-100%). oVEMP threshold may be used to aid in distinguishing SCDS from controls (3 Class III studies) (sensitivity 70%-100%, specificity 77%-100%). Level U: Evidence is insufficient to determine whether cVEMP and oVEMP can accurately identify vestibular function specifically related to the saccule/utricle, or whether cVEMP or oVEMP is useful in diagnosing vestibular neuritis or Ménière disease. Level C negative: It has not been demonstrated that cVEMP substantively aids in diagnosing benign paroxysmal positional vertigo, or that cVEMP or oVEMP aids in diagnosing/managing vestibular migraine."
