authors,number of publications,Degree,Betweenness,Deg_Cent
 K Ray Chaudhuri,10,73,0.021675566586643904,0.004363679837408094
 Werner Poewe,9,69,0.013844721104741385,0.004124574092892582
 Aldo Quattrone,7,124,0.013211649999723627,0.007412278079980872
 Grzegorz Opala,2,45,0.010211423250861069,0.00268993962579951
 Eng-King Tan,7,36,0.010078773497714487,0.002151951700639608
 Vernice Jackson-Lewis,4,36,0.00982793420661613,0.002151951700639608
 Alberto Albanese,6,76,0.00968226076282357,0.0045430091457947285
 Manuela Pilleri,3,53,0.009435549662555442,0.003168151114830534
 Thomas Gasser,10,120,0.009304508954104156,0.00717317233546536
 Dag Aarsland,9,91,0.009252629695871359,0.005439655687727898
Yi Zhao,2,12,0.008913213038166069,0.0007173172335465358
 Andrew Lees,7,59,0.008863059090717556,0.0035268097316038024
 Nobutaka Hattori,8,68,0.008847329290335873,0.0040647976567637035
 Emmanuel Broussolle,5,28,0.008748933932586566,0.001673740211608584
 Erwin Surmann,2,10,0.00872116068911206,0.00059776436128878
 C Chen,2,17,0.008077121395996941,0.0010161994141909259
 Valérie Fraix,2,15,0.007951291602241952,0.00089664654193317
 Stéphan Chabardès,2,15,0.007726857194483161,0.00089664654193317
 A Forbes,2,37,0.007590609035496108,0.002211728136768486
 C Trenkwalder,5,47,0.007469711360185794,0.002809492498057266
 Franck Durif,4,39,0.007425270348476195,0.002331281009026242
 Eduard Tolosa,3,16,0.007138073975792766,0.0009564229780620481
 Peter Brown,5,41,0.007086413215302538,0.002450833881283998
 François Tison,3,31,0.007039037197636486,0.001853069519995218
 T Gasser,6,72,0.006838843216649299,0.004303903401279216
 Alexis Brice,4,79,0.0068321985528377255,0.004722338454181361
 Jonathan M Brotchie,5,24,0.006684441764464301,0.001434634467093072
 Paolo Barone,6,122,0.006662569845731445,0.0072927252077231155
 Olaf Riess,4,56,0.0065887781171311225,0.003347480423217168
 Simon J G Lewis,7,26,0.006528269821309162,0.0015541873393508279
 Glenda M Halliday,2,19,0.006319055897568653,0.0011357522864486821
 Yoshikuni Mizuno,9,46,0.006277444759423461,0.002749716061928388
 A L Benabid,2,13,0.006134776902370095,0.0007770936696754138
 Erwan Bezard,9,56,0.005801319557348253,0.003347480423217168
 Andreas Kupsch,6,31,0.005645057975757943,0.001853069519995218
 Monique Galitzky,3,37,0.00557650992412494,0.002211728136768486
 A Antonini,4,29,0.005514419114120078,0.0017335166477374618
Olivier Rascol,2,16,0.005504308462100114,0.0009564229780620481
 Mathias Toft,4,52,0.0050937471609664425,0.0031083746787016558
Wei Zhang,3,37,0.005058283198011411,0.002211728136768486
 Anthony E Lang,10,82,0.00483737790967996,0.004901667762567996
 Georg Auburger,4,36,0.004836640632472527,0.002151951700639608
 Peter A Silburn,4,57,0.0047999157597320066,0.0034072568593460453
 George D Mellick,3,56,0.0047761557259767854,0.003347480423217168
 Rajesh Pahwa,7,57,0.00474538652741634,0.0034072568593460453
 Philipp J Kahle,5,32,0.004521040691546574,0.0019128459561240962
 Hideki Mochizuki,3,28,0.0044815817822691775,0.001673740211608584
 C Klein,5,67,0.00444137542646466,0.004005021220634826
 Bin Liu,3,16,0.004438331015871851,0.0009564229780620481
 Ping Zhang,2,8,0.004316817798706868,0.00047821148903102404
 Angelo Antonini,8,53,0.004212003906940905,0.003168151114830534
 Yue Huang,2,18,0.0041886882880608255,0.001075975850319804
Radu Constantinescu,2,6,0.004039411967962918,0.000358658616773268
 Roger Kurlan,4,14,0.003934295776836239,0.000836870105804292
 D J Burn,5,59,0.003931029656402129,0.0035268097316038024
 T Wang,3,35,0.0038718946552247133,0.00209217526451073
 G Deuschl,3,20,0.003840022408343696,0.00119552872257756
 Fang Wang,5,46,0.003821577392178972,0.002749716061928388
Georg Ebersbach,2,6,0.003801078085606889,0.000358658616773268
 Alexander Storch,3,15,0.003766165616633961,0.00089664654193317
 Masahito Yamada,4,20,0.0037481590730152727,0.00119552872257756
 Cyrus P Zabetian,5,49,0.00364416917936182,0.002929045370315022
 Christopher G Goetz,3,73,0.0036209754777502563,0.004363679837408094
 Tiago Fleming Outeiro,6,37,0.0036112170655308883,0.002211728136768486
 Gianni Pezzoli,10,123,0.003569138202532135,0.007352501643851993
 Per Odin,3,24,0.0034646352659808807,0.001434634467093072
 Qin Li,5,36,0.003296506290443828,0.002151951700639608
 Piu Chan,10,50,0.0032619832446096147,0.0029888218064439
 Christine Van Broeckhoven,2,61,0.003252574759883218,0.0036463626038615578
 Donato A Di Monte,5,27,0.003216348189192793,0.001613963775479706
 Daniela Berg,12,71,0.0031922934356708554,0.004244126965150338
 Christian E Gross,4,28,0.0031652126213084835,0.001673740211608584
 M Angela Cenci,5,28,0.0031051779281456426,0.001673740211608584
 Joseph Jankovic,5,50,0.003092930288640141,0.0029888218064439
Erwan Bezard,2,14,0.0030826407591290853,0.000836870105804292
 Niall Quinn,6,37,0.003030515543799367,0.002211728136768486
 David Eidelberg,13,50,0.003018231333339681,0.0029888218064439
 J Huang,2,31,0.002999335335745799,0.001853069519995218
 Eduardo Tolosa,7,37,0.0029843894849203713,0.002211728136768486
 Tao Wang,3,24,0.002979113972185185,0.001434634467093072
 Benjamin Dehay,3,19,0.002957763424991045,0.0011357522864486821
 Serge Przedborski,5,32,0.002956323635631173,0.0019128459561240962
 Bastiaan R Bloem,13,64,0.0028795446638548603,0.0038256919122481923
Ana Marques,2,15,0.002839894406538082,0.00089664654193317
 David J Brooks,9,45,0.0027245318592119807,0.00268993962579951
 X Liu,3,29,0.002717330214879599,0.0017335166477374618
 Peter P De Deyn,2,39,0.0026980229259504283,0.002331281009026242
 Patricia Limousin,2,20,0.0026434908807527737,0.00119552872257756
 Thomas Foltynie,2,20,0.0026434908807527737,0.00119552872257756
Peter A LeWitt,2,8,0.002635482603400207,0.00047821148903102404
 Andrew B Singleton,8,84,0.002625139726590623,0.005021220634825753
 R J Uitti,4,34,0.0026031766015761023,0.0020323988283818518
 Timothy J Collier,4,16,0.002602184377534668,0.0009564229780620481
 Jing Zhang,5,57,0.002585357542108276,0.0034072568593460453
 Henrik Zetterberg,3,30,0.0025777115000868767,0.00179329308386634
 C Singer,2,52,0.0025648638526386343,0.0031083746787016558
 Hans Nissbrandt,5,49,0.002503037861863349,0.002929045370315022
 Jaime Kulisevsky,3,30,0.0024541396946912496,0.00179329308386634
 Andrew J Lees,9,50,0.0023469006530168336,0.0029888218064439
 Jau-Shyong Hong,4,34,0.0023079087886893296,0.0020323988283818518
 James M Shine,4,15,0.0022395366151254283,0.00089664654193317
 Marjan Jahanshahi,5,20,0.002201282672378425,0.00119552872257756
 Roy N Alcalay,4,58,0.002201082106168667,0.0034670332954749236
Simon J G Lewis,3,5,0.0021990352923680926,0.00029888218064439
 A Jon Stoessl,7,42,0.002182471189905403,0.0025106103174128763
 E Mark Haacke,2,16,0.002118332815470999,0.0009564229780620481
