Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2005);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;14317;"Brain";journal;"14602156, 00068950";4,575;Q1;296;299;757;14439;6692;678;8,87;48,29;United Kingdom;"Oxford University Press";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
2;14179;"Annals of Neurology";journal;"03645134, 15318249";4,124;Q1;266;323;936;8506;6704;739;8,96;26,33;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
3;14351;"Brain Research Reviews";journal;"01650173";4,011;Q1;180;118;171;14943;1357;168;7,52;126,64;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
4;20618;"Stroke";journal;"15244628, 00392499";3,447;Q1;285;628;1954;13733;10628;1552;6,45;21,87;United States;"Lippincott Williams & Wilkins Ltd.";"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
5;16101;"Human Brain Mapping";journal;"10659471, 10970193";2,884;Q1;166;98;217;4933;1266;208;4,66;50,34;United States;"John Wiley & Sons Inc.";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
6;16667;"Journal of Cerebral Blood Flow and Metabolism";journal;"0271678";2,510;Q1;170;163;463;7819;2582;451;5,26;47,97;United States;"SAGE Publications Inc.";"Cardiology and Cardiovascular Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
7;21100228519;"JAMA Neurology";journal;"21686149, 21686157";2,455;Q1;203;313;888;6121;4317;722;5,73;19,56;United States;"American Medical Association";"Neurology (clinical) (Q1)"
8;17952;"Neurology";journal;"00283878";2,314;Q1;322;1276;3752;21739;16531;3017;4,92;17,04;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1)"
9;16761;"Journal of Neuropathology and Experimental Neurology";journal;"00223069";2,314;Q1;149;121;338;5655;1778;331;4,92;46,74;United Kingdom;"Oxford University Press";"Cellular and Molecular Neuroscience (Q1); Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
10;23985;"Neurobiology of Aging";journal;"01974580";2,264;Q1;159;178;428;8328;2158;377;5,42;46,79;Netherlands;"Elsevier BV";"Aging (Q1); Developmental Biology (Q1); Geriatrics and Gerontology (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
