Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2004);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1;14317;"Brain";journal;"14602156, 00068950";4,696;Q1;296;265;712;13341;6171;647;9,24;50,34;United Kingdom;"Oxford University Press";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
2;14179;"Annals of Neurology";journal;"03645134, 15318249";4,386;Q1;266;314;920;8206;6528;720;8,76;26,13;United States;"John Wiley & Sons Inc.";"Neurology (Q1); Neurology (clinical) (Q1)"
3;14351;"Brain Research Reviews";journal;"01650173";4,056;Q1;180;75;182;11049;1504;179;7,58;147,32;Netherlands;"Elsevier BV";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
4;20618;"Stroke";journal;"15244628, 00392499";3,259;Q1;285;657;1877;14365;9796;1419;6,50;21,86;United States;"Lippincott Williams & Wilkins Ltd.";"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
5;16101;"Human Brain Mapping";journal;"10659471, 10970193";3,022;Q1;166;77;194;3752;1201;188;5,61;48,73;United States;"John Wiley & Sons Inc.";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
6;16667;"Journal of Cerebral Blood Flow and Metabolism";journal;"0271678";2,713;Q1;170;150;465;7561;2790;458;5,97;50,41;United States;"SAGE Publications Inc.";"Cardiology and Cardiovascular Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1)"
7;21100228519;"JAMA Neurology";journal;"21686149, 21686157";2,660;Q1;203;327;862;6161;4083;694;5,52;18,84;United States;"American Medical Association";"Neurology (clinical) (Q1)"
8;17952;"Neurology";journal;"00283878";2,576;Q1;322;1418;3481;25526;16260;2803;5,36;18,00;United States;"Lippincott Williams & Wilkins Ltd.";"Neurology (clinical) (Q1)"
9;16761;"Journal of Neuropathology and Experimental Neurology";journal;"00223069";2,483;Q1;149;115;341;5433;1780;331;5,19;47,24;United Kingdom;"Oxford University Press";"Cellular and Molecular Neuroscience (Q1); Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
10;23985;"Neurobiology of Aging";journal;"01974580";2,407;Q1;159;159;391;7685;1849;339;5,07;48,33;Netherlands;"Elsevier BV";"Aging (Q1); Developmental Biology (Q1); Geriatrics and Gerontology (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
11;18148;"Pain";journal;"03043959";2,107;Q1;229;355;794;13175;3971;737;4,70;37,11;Netherlands;"Lippincott Williams & Wilkins Ltd.";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1)"
12;20041;"Neurourology and Urodynamics";journal;"15206777, 07332467";1,816;Q1;79;92;200;1946;565;173;3,50;21,15;United States;"John Wiley & Sons Inc.";"Neurology (clinical) (Q1); Urology (Q1)"
13;14344;"Brain Pathology";journal;"10156305";1,749;Q1;119;67;190;3281;743;180;4,06;48,97;United States;"Wiley-Blackwell";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1)"
14;16860;"The Lancet Neurology";journal;"14744422";1,662;Q1;240;206;331;6497;1072;276;3,88;31,54;United Kingdom;"The Lancet Publishing Group";"Neurology (clinical) (Q1)"
15;17990;"Neuropathology and Applied Neurobiology";journal;"03051846, 13652990";1,645;Q1;82;71;158;2867;481;142;3,32;40,38;United Kingdom;"Blackwell Publishing Inc.";"Histology (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1); Physiology (medical) (Q1)"
